"JURISDICTION","AREA_OF_LAW","YEAR","CATEGORY","ODP_CATEGORY","INCOMING","RESOLVED"
"District Court","Criminal",2022,"Sexual","Sexual",3212,2963
"District Court","Criminal",2022,"Other","Other",47990,46938
"Central Criminal Court","Criminal",2022,"Rape (Including Attempted Rape)","Rape (Including Attempted Rape)",1112,675
"Circuit Court","Criminal Appeals",2022,"Drugs","Drugs",977,1035
"Court Of Appeal","Criminal",2022,"Public Order","Public Order",15,8
"Court Of Appeal","Criminal",2022,"Sexual Offences","Sexual Offences",707,478
"Court Of Appeal","Criminal",2022,"Theft/Fraud/Robbery","Theft/Fraud/Robbery",266,575
"Court Of Appeal","Criminal",2022,"Other","Other",307,155
"Circuit Court","Criminal",2022,"Drugs","Drugs",3151,4247
"Circuit Court","Criminal",2022,"Firearms","Firearms",847,1080
"Special Criminal Court","Criminal",2022,"Threaten To Kill","Threaten To Kill",0,0
"Central Criminal Court","Criminal",2022,"Other","Other",69,137
"District Court","Criminal",2022,"Larceny/Fraud/Robbery","Larceny/Fraud/Robbery",30692,27253
"Special Criminal Court","Criminal",2022,"Theft","Theft",0,7
"Court Of Appeal","Criminal",2022,"Firearms/Weapon/Possession Of Explosives/Ammunition","Firearms/Weapon/Possession Of Explosives/Ammunition",60,37
"District Court","Criminal",2022,"Road Traffic","Road Traffic",181969,148308
"Circuit Court","Criminal",2022,"Larceny/Fraud/Robbery","Larceny/Fraud/Robbery",6726,7169
"Special Criminal Court","Criminal",2022,"Possession Of Firearms/ Ammunition/Explosive Substances","Possession Of Firearms/ Ammunition/Explosive Substances",6,5
"Special Criminal Court","Criminal",2022,"Other","Other",61,39
"Circuit Court","Criminal Appeals",2022,"Public Order/Assault","Public Order/Assault",2091,2173
"Circuit Court","Criminal Appeals",2022,"Other","Other",1950,2029
"Court Of Appeal","Criminal",2022,"Assault","Assault",100,107
"Court Of Appeal","Criminal",2022,"Manslaughter","Manslaughter",0,4
"Court Of Appeal","Criminal",2022,"Murder","Murder",14,16
"Circuit Court","Criminal",2022,"Road Traffic","Road Traffic",372,1135
"Circuit Court","Criminal",2022,"Assault","Assault",1428,2528
"Central Criminal Court","Criminal",2022,"Murder (Including Attempted Murder)","Murder (Including Attempted Murder)",43,43
"Central Criminal Court","Criminal",2022,"Assault","Assault",67,94
"Circuit Court","Criminal Appeals",2022,"Road Traffic","Road Traffic",7950,8492
"Circuit Court","Criminal Appeals",2022,"Sexual","Sexual",38,15
"Circuit Court","Criminal Appeals",2022,"Larceny/Fraud/Robbery","Larceny/Fraud/Robbery",2184,2107
"District Court","Criminal",2022,"Public Order/Assault","Public Order/Assault",44917,38868
"Court Of Appeal","Criminal",2022,"Drugs/Misuse Of Drugs","Drugs/Misuse Of Drugs",144,122
"Court Of Appeal","Criminal",2022,"Rape","Rape",323,329
"Circuit Court","Criminal",2022,"Other","Other",3537,4001
"Special Criminal Court","Criminal",2022,"Murder","Murder",2,5
"Court Of Appeal","Criminal",2022,"Road Traffic","Road Traffic",86,41
"District Court","Criminal",2022,"Drugs","Drugs",30045,24550
"Circuit Court","Criminal",2022,"Sexual","Sexual",1799,1769
"Circuit Court","Criminal",2022,"Child Abuse","Child Abuse",72,117
"Circuit Court","Criminal",2022,"Manslaughter","Manslaughter",2,5
"Special Criminal Court","Criminal",2022,"Membership Of Illegal Organisation","Membership Of Illegal Organisation",0,1
"Central Criminal Court","Criminal",2022,"Sexual Offences","Sexual Offences",1730,1177
"Court Of Appeal","Civil",2022,"Judicial Review (Other)","Judicial Review (Other)",38,45
"Circuit Court","Civil",2022,"Examinership","Examinership",2,1
"Circuit Court","Civil",2022,"Property (Other)","Property (Other)",137,815
"Circuit Court","Civil",2022,"Judgment Mortgage Certs Issued","Judgment Mortgage Certs Issued",253,253
"District Court","Family",2022,"Maintenance","Maintenance",5862,5025
"District Court","Civil",2022,"Judgments Marked In The Office","Judgments Marked In The Office",7084,6968
"High Court","Civil",2022,"Bankruptcy Petitions (Creditors)","Bankruptcy Petitions (Creditors)",17,12
"High Court","Civil",2022,"Judicial Review Sid","Judicial Review Sid",63,63
"High Court","Civil",2022,"Liquidation","Liquidation",37,137
"High Court","Family",2022,"Nullity","Nullity",1,1
"District Court","Civil",2022,"Other","Other",4038,3347
"Circuit Court","Family",2022,"Domestic Violence","Domestic Violence",48,48
"Court Of Appeal","Civil",2022,"Article 40/Habeas Corpus","Article 40/Habeas Corpus",3,6
"Court Of Appeal","Civil",2022,"Family","Family",12,10
"Court Of Appeal","Civil",2022,"Insolvency (Corporate)","Insolvency (Corporate)",1,3
"Court Of Appeal","Civil",2022,"Personal Injury","Personal Injury",19,40
"Court Of Appeal","Civil",2022,"Proceeds Of Crime Act","Proceeds Of Crime Act",6,3
"Court Of Appeal","Civil",2022,"Other","Other",54,45
"Circuit Court","Civil",2022,"Execution Orders Issued (Court Orders)","Execution Orders Issued (Court Orders)",288,287
"Circuit Court","Civil",2022,"Satisfaction Piece","Satisfaction Piece",49,49
"District Court","Civil",2022,"Personal Injury","Personal Injury",1542,704
"High Court","Civil",2022,"District Court To High Court","District Court To High Court",14,14
"High Court","Family",2022,"Adoption","Adoption",55,44
"High Court","Civil",2022,"Breach Of Contract","Breach Of Contract",1458,63
"High Court","Civil",2022,"European Arrest Warrants","European Arrest Warrants",259,274
"High Court","Family",2022,"Judicial Separation","Judicial Separation",18,33
"High Court","Civil",2022,"Deed Poll Applications","Deed Poll Applications",713,713
"High Court","Civil",2022,"Judgments Marked In The Office","Judgments Marked In The Office",16,16
"High Court","Civil",2022,"Personal Insolvency","Personal Insolvency",10,13
"High Court","Civil",2022,"Probate: Local Registries","Probate: Local Registries",8015,5766
"Circuit Court","Family",2022,"Divorce","Divorce",5498,4891
"High Court","Civil",2022,"Execution Orders Issued (Judgments)","Execution Orders Issued (Judgments)",100,100
"High Court","Civil",2022,"Execution Orders Issued (Possession)","Execution Orders Issued (Possession)",8,8
"Court Of Appeal","Civil",2022,"Commercial","Commercial",27,35
"Court Of Appeal","Civil",2022,"Company","Company",14,15
"Court Of Appeal","Civil",2022,"Extradition","Extradition",0,3
"Circuit Court","Civil",2022,"Mental Health Applications","Mental Health Applications",112,30
"High Court","Civil",2022,"Chancery","Chancery",1132,525
"High Court","Family",2022,"Child Abduction","Child Abduction",30,20
"High Court","Civil",2022,"Commercial","Commercial",126,106
"High Court","Civil",2022,"Judicial Review (Other)","Judicial Review (Other)",576,390
"High Court","Civil",2022,"Persons Declared Wards Of Court","Persons Declared Wards Of Court",520,360
"Circuit Court","Civil",2022,"Defamation","Defamation",282,26
"Circuit Court","Civil",2022,"Employment (Dismissal)","Employment (Dismissal)",3,5
"District Court","Family",2022,"Family Law (Other)","Family Law (Other)",1616,1492
"Court Of Appeal","Civil",2022,"Bail","Bail",6,6
"Court Of Appeal","Civil",2022,"Criminal","Criminal",16,16
"Circuit Court","Family",2022,"Judicial Separation","Judicial Separation",468,314
"Circuit Court","Family",2022,"Nullity","Nullity",5,11
"Circuit Court","Civil",2022,"Property (Possession)","Property (Possession)",837,548
"Circuit Court","Civil",2022,"Licensing","Licensing",203,146
"District Court","Civil",2022,"Liquidated Debt","Liquidated Debt",15188,8133
"District Court","Civil",2022,"Litigious Enforcement","Litigious Enforcement",1094,1094
"High Court","Civil",2022,"Assault","Assault",102,68
"High Court","Civil",2022,"Property (Other)","Property (Other)",23,84
"Supreme Court","Supreme Court",2022,"Appeals (Legacy)","Appeals (Legacy)",0,11
"Supreme Court","Supreme Court",2022,"Applications For Leave","Applications For Leave",145,148
"Court Of Appeal","Civil",2022,"Constitution","Constitution",1,0
"Court Of Appeal","Civil",2022,"Judicial Review (Asylum-Related)","Judicial Review (Asylum-Related)",10,18
"Court Of Appeal","Civil",2022,"Security For Costs","Security For Costs",1,4
"Circuit Court","Civil",2022,"Personal Insolvency","Personal Insolvency",2836,2507
"District Court","Family",2022,"Guardianship Custody And Access","Guardianship Custody And Access",10822,10143
"District Court","Civil",2022,"Small Claims","Small Claims",2159,2056
"District Court","Civil",2022,"Licensing","Licensing",44052,42067
"District Court","Civil",2022,"Judgment Mortgage Certs Issued","Judgment Mortgage Certs Issued",198,198
"High Court","Civil",2022,"Bankruptcy Summonses","Bankruptcy Summonses",32,31
"High Court","Civil",2022,"Personal Injury","Personal Injury",3766,3899
"High Court","Civil",2022,"Bankruptcy Petitions (Self)","Bankruptcy Petitions (Self)",92,93
"High Court","Civil",2022,"Enduring Powers Of Attorney","Enduring Powers Of Attorney",1581,1245
"Circuit Court","Civil",2022,"Other","Other",3321,1842
"High Court","Family",2022,"Family Law (Other)","Family Law (Other)",121,21
"High Court","Civil",2022,"Judgment Mortgage Certs Issued","Judgment Mortgage Certs Issued",200,200
"High Court","Civil",2022,"Judgments Registered","Judgments Registered",1257,1257
"Court Of Appeal","Civil",2022,"Plenary","Plenary",26,21
"Court Of Appeal","Civil",2022,"Summary Judgment","Summary Judgment",27,22
"Circuit Court","Civil",2022,"Personal Injury","Personal Injury",7151,6572
"Circuit Court","Civil",2022,"Judgments Marked In The Office","Judgments Marked In The Office",656,716
"Circuit Court","Civil",2022,"Service Of Documents","Service Of Documents",3207,3207
"District Court","Civil",2022,"Appeals To District Court","Appeals To District Court",70,46
"District Court","Family",2022,"Child Care","Child Care",14914,9994
"District Court","Family",2022,"Domestic Violence","Domestic Violence",23536,20830
"District Court","Civil",2022,"Maintenance (Foreign)","Maintenance (Foreign)",127,102
"High Court","Civil",2022,"Revenue To High Court","Revenue To High Court",9,9
"High Court","Family",2022,"Child Care","Child Care",71,50
"High Court","Civil",2022,"Disqualify Directors","Disqualify Directors",4,7
"High Court","Civil",2022,"Judicial Review (Asylum-Related)","Judicial Review (Asylum-Related)",336,369
"High Court","Civil",2022,"Liquidated Debt","Liquidated Debt",604,149
"High Court","Civil",2022,"Proceeds Of Crime","Proceeds Of Crime",34,36
"High Court","Civil",2022,"Property (Possession)","Property (Possession)",61,70
"High Court","Civil",2022,"Maintenance (Foreign)","Maintenance (Foreign)",7,2
"High Court","Civil",2022,"Service Of Documents","Service Of Documents",89,89
"Court Of Appeal","Civil",2022,"Chancery","Chancery",53,56
"Court Of Appeal","Civil",2022,"Insolvency (Personal)","Insolvency (Personal)",5,10
"High Court","Civil",2022,"Circuit Court To High Court","Circuit Court To High Court",451,227
"Circuit Court","Civil",2022,"Liquidated Debt","Liquidated Debt",1499,1023
"Circuit Court","Civil",2022,"Execution Orders Issued (Possession)","Execution Orders Issued (Possession)",145,141
"District Court","Civil",2022,"Foreign Proceedings (Other)","Foreign Proceedings (Other)",83,83
"District Court","Civil",2022,"Satisfaction Piece","Satisfaction Piece",74,74
"High Court","Family",2022,"Cohabitation","Cohabitation",8,7
"High Court","Civil",2022,"Defamation","Defamation",104,28
"High Court","Civil",2022,"Employment (Dismissal)","Employment (Dismissal)",2,3
"High Court","Civil",2022,"Employment (Other)","Employment (Other)",13,4
"High Court","Civil",2022,"Garda Compensation","Garda Compensation",56,80
"High Court","Civil",2022,"Negligence","Negligence",185,76
"Circuit Court","Civil",2022,"District Court To Circuit Court ","District Court To Circuit Court ",812,614
"Circuit Court","Family",2022,"Dissolution Of Partnership","Dissolution Of Partnership",79,39
"Circuit Court","Civil",2022,"Employment (Other)","Employment (Other)",26,24
"High Court","Civil",2022,"Satisfaction Piece","Satisfaction Piece",34,34
"High Court","Family",2022,"Divorce","Divorce",53,50
"Court Of Appeal","Civil",2022,"Contract","Contract",1,4
"Circuit Court","Family",2022,"Other","Other",207,45
"Circuit Court","Civil",2022,"Care Representatives","Care Representatives",716,611
"Circuit Court","Civil",2022,"Marriage Exemption","Marriage Exemption",743,674
"Circuit Court","Civil",2022,"Execution Orders Issued (Judgments)","Execution Orders Issued (Judgments)",656,716
"District Court","Civil",2022,"Property (Other)","Property (Other)",484,58
"High Court","Civil",2022,"Bail","Bail",1676,1248
"High Court","Civil",2022,"Examinership","Examinership",6,43
"High Court","Civil",2022,"Habeas Corpus","Habeas Corpus",63,53
"High Court","Civil",2022,"Regulation Of Professions","Regulation Of Professions",280,261
"High Court","Civil",2022,"Restrict Directors","Restrict Directors",12,29
"High Court","Civil",2022,"Personal Insolvency Cc To Hc","Personal Insolvency Cc To Hc",58,51
"High Court","Civil",2022,"Probate: Principal Registry","Probate: Principal Registry",13287,12264
"Supreme Court","Supreme Court",2022,"Appeals (Current)","Appeals (Current)",46,55
